Economy Name,Economy Code,Status BIPM,RMO,ISO Membership,IEC Membership,GQII Scores,GQII Rank,CMC Coverage,CIPM - Cons. Committees,Key Comparisons,Supplementary Comparisons,Count Calibration,ISO - TC Observing,ISO - TC Participating,IEC Observing Member,IEC Participating Member,ISO MS Certificates,CAB Coverage*,Count Product Certification,Count Management System Certification,Count Testing
Greece,GRC,Member State,EURAMET,Member body,Full Member,0.8264,35,67%,0%,66,25,95,162,56,90,14,"11,876",82%,37,33,376
Grenada,GRD,Associate of the CGPM,CARICOM,,Affiliate,0.1977,170,0%,,,,,,,,,2,,,,
Guatemala,GTM,,,Correspondent member,Affiliate,0.4044,111,0%,,,,5,5,,,,288,24%,1,0,34
Guinea,GIN,,,,Affiliate,0.1887,174,0%,,,,,,,,,19,,,,
Guinea-Bissau,GNB,,,,Affiliate,0.2826,153,0%,,,,0,,,,,3,6%,0,0,1
Guyana,GUY,Associate of the CGPM,CARICOM,Correspondent member,Affiliate,0.3109,141,0%,,,,,1,4,,,26,0%,,,2
Haiti,HTI,,,Correspondent member,Affiliate,0.2040,169,0%,,,,,6,,,,5,,,,
Honduras,HND,,,Correspondent member,Affiliate,0.3557,128,0%,,,,2,8,,,,227,12%,0,0,17
"Hong Kong, China",HKG,Associate of the CGPM,APMP,Correspondent member,,0.5860,69,78%,,102,30,39,169,,,,"4,349",71%,13,20,200
Hungary,HUN,Member State,EURAMET,Member body,Full Member,0.8849,22,100%,10%,174,37,104,423,104,124,30,"11,994",88%,22,42,405
Iceland,ISL,,,Member body,Associate Member,0.4493,101,0%,,,,2,133,8,2,1,233,35%,2,2,9
India,IND,Member State,APMP,Member body,Full Member,0.9310,10,89%,40%,152,43,"1,045",189,486,69,103,"51,246",94%,32,108,"4,014"
Indonesia,IDN,Member State,APMP,Member body,Full Member,0.8492,28,78%,0%,62,27,361,185,101,43,25,"11,388",82%,79,133,"1,552"
Iran,IRN,Member State,N/A,Member body,Full Member,0.6017,67,0%,0%,0,0,0,363,319,108,47,"2,589",6%,0,1,15
Iraq,IRQ,Member State,N/A,Member body,Full Member,0.5270,83,0%,0%,0,1,4,36,8,2,6,199,18%,0,0,21
Ireland,IRL,Member State,EURAMET,Member body,Full Member,0.7916,44,67%,0%,31,9,19,185,158,70,56,"3,966",82%,23,7,110
Israel,ISR,Member State,N/A,Member body,Full Member,0.7006,53,0%,15%,13,2,59,155,123,62,43,"10,689",29%,1,9,230
Italy,ITA,Member State,EURAMET,Member body,Full Member,0.9567,8,89%,95%,250,89,201,121,577,16,174,"125,892",88%,210,111,"1,274"
Jamaica,JAM,Associate of the CGPM,SIM,Member body,Affiliate,0.4511,100,11%,,6,11,2,18,9,,,52,24%,1,1,22
Japan,JPN,Member State,APMP,Member body,Full Member,0.9759,5,100%,100%,472,89,310,78,644,3,187,"59,330",94%,29,74,733
Jordan,JOR,,,Member body,Associate Member,0.5521,74,0%,,,,6,18,46,0,3,"1,021",29%,3,0,88
Kazakhstan,KAZ,Member State,COOMET,Member body,Associate Member,0.7545,48,78%,0%,20,39,74,27,107,0,4,935,76%,77,53,913
Kenya,KEN,Member State,AFRIMETS,Member body,Associate Member,0.6982,54,44%,10%,21,17,29,151,93,2,4,727,59%,5,5,48
"Korea, Republic of",KOR,Member State,APMP,Member body,Full Member,0.9617,7,100%,100%,412,92,262,149,575,24,157,"19,613",88%,26,58,644
Kosovo,XKX,,,,,0.2200,165,0%,,,,0,,,,,,6%,0,0,0
"Kuwait, the State of",KWT,Associate of the CGPM,GULFMET,Member body,Full Member,0.4959,92,0%,,2,2,2,5,11,6,0,"1,156",12%,0,0,10
Kyrgyz Republic,KGZ,,,Correspondent member,Affiliate,0.3050,142,0%,,,,1,3,,,,29,0%,,,3
Lao People’s Democratic Republic,LAO,,,Correspondent member,Affiliate,0.2963,146,0%,,,,,5,,,,73,0%,,,2
Latvia,LVA,Associate of the CGPM,EURAMET,Member body,Associate Member,0.5499,75,33%,,14,9,18,14,7,0,0,"1,656",76%,20,7,126
Lebanese Republic,LBN,,,Member body,Affiliate,0.3947,115,0%,,,,2,23,11,,,790,0%,1,1,7
Lesotho,LSO,,,,Affiliate,0.2776,155,0%,,,,0,,,,,7,6%,0,0,1
Liberia,LBR,,,,Affiliate,0.1873,175,0%,,,,,,,,,15,,,,
Libya,LBY,,,Member body,,0.1546,179,0%,,,,,,,,,70,,,,
Liechtenstein,LIE,,,,,0.2368,160,0%,,,,,,,,,117,0%,1,,2
Lithuania,LTU,Member State,EURAMET,Member body,Associate Member,0.6940,55,56%,0%,20,31,17,42,21,0,4,"2,611",65%,14,5,114
Luxembourg,LUX,Associate of the CGPM,EURAMET,Member body,Full Member,0.6334,61,11%,,4,2,4,56,68,7,6,304,53%,5,5,28
